bo3,Falcons,FaZe,3DMAX,Virtus.pro,paiN,FURIA,MIBR,M80,B8,HEROIC,BetBoom,OG,Nemiga,Lynn Vision,Legacy,TYLOO
Falcons,,0.84375,0.93925,0.896,0.93925,0.84375,0.896,0.896,0.896,0.784,0.93925,0.896,0.93925,0.896,0.896,0.896
FaZe,0.15625,,0.71825,0.57475,0.896,0.57475,0.71825,0.784,0.71825,0.352,0.71825,0.71825,0.84375,0.784,0.784,0.71825
3DMAX,0.06075,0.28175,,0.42525,0.84375,0.5,0.57475,0.5,0.42525,0.216,0.71825,0.648,0.784,0.648,0.71825,0.648
Virtus.pro,0.104,0.42525,0.57475,,0.896,0.57475,0.57475,0.784,0.648,0.28175,0.352,0.784,0.784,0.71825,0.71825,0.71825
paiN,0.06075,0.104,0.15625,0.104,,0.104,0.104,0.15625,0.15625,0.104,0.15625,0.216,0.216,0.15625,0.15625,0.15625
FURIA,0.15625,0.42525,0.5,0.42525,0.896,,0.71825,0.71825,0.648,0.28175,0.648,0.648,0.784,0.71825,0.71825,0.71825
MIBR,0.104,0.28175,0.42525,0.42525,0.896,0.28175,,0.57475,0.5,0.216,0.57475,0.57475,0.784,0.648,0.5,0.5
M80,0.104,0.216,0.5,0.216,0.84375,0.28175,0.42525,,0.28175,0.15625,0.57475,0.71825,0.648,0.42525,0.42525,0.352
B8,0.104,0.28175,0.57475,0.352,0.84375,0.352,0.5,0.71825,,0.216,0.71825,0.784,0.71825,0.648,0.648,0.57475
HEROIC,0.216,0.648,0.784,0.71825,0.896,0.71825,0.784,0.84375,0.784,,0.84375,0.84375,0.93925,0.784,0.784,0.784
BetBoom,0.06075,0.28175,0.28175,0.648,0.84375,0.352,0.42525,0.42525,0.28175,0.15625,,0.57475,0.648,0.5,0.42525,0.42525
OG,0.104,0.28175,0.352,0.216,0.784,0.352,0.42525,0.28175,0.216,0.15625,0.42525,,0.648,0.352,0.352,0.352
Nemiga,0.06075,0.15625,0.216,0.216,0.784,0.216,0.216,0.352,0.28175,0.06075,0.352,0.352,,0.28175,0.28175,0.28175
Lynn Vision,0.104,0.216,0.352,0.28175,0.84375,0.28175,0.352,0.57475,0.352,0.216,0.5,0.648,0.71825,,0.57475,0.352
Legacy,0.104,0.216,0.28175,0.28175,0.84375,0.28175,0.5,0.57475,0.352,0.216,0.57475,0.648,0.71825,0.42525,,0.42525
TYLOO,0.104,0.28175,0.352,0.28175,0.84375,0.28175,0.5,0.648,0.42525,0.216,0.57475,0.648,0.71825,0.648,0.57475,
