bo1,Vitality,MOUZ,Spirit,G2,The Mongolz,Aurora,Natus Vincere,Liquid,Legacy,Virtus.pro,paiN,3DMAX,FURIA,FaZe,Nemiga,Lynn Vision
Vitality,0.5,0.7,0.75,0.85,0.7,0.7,0.75,0.75,0.85,0.8,0.85,0.8,0.8,0.8,0.85,0.85
MOUZ,0.3,0.5,0.6,0.75,0.6,0.65,0.65,0.65,0.8,0.7,0.8,0.7,0.7,0.7,0.8,0.8
Spirit,0.25,0.4,0.5,0.75,0.4,0.55,0.7,0.7,0.75,0.7,0.75,0.75,0.7,0.6,0.8,0.8
G2,0.15,0.25,0.25,0.5,0.3,0.35,0.45,0.45,0.6,0.5,0.65,0.6,0.5,0.45,0.7,0.65
The Mongolz,0.3,0.4,0.6,0.7,0.5,0.5,0.6,0.65,0.75,0.7,0.8,0.7,0.65,0.6,0.8,0.7
Aurora,0.3,0.35,0.45,0.65,0.5,0.5,0.65,0.7,0.7,0.7,0.8,0.75,0.65,0.65,0.8,0.75
Natus Vincere,0.25,0.35,0.3,0.55,0.4,0.35,0.5,0.5,0.65,0.55,0.75,0.6,0.45,0.45,0.75,0.7
Liquid,0.25,0.35,0.3,0.55,0.35,0.3,0.5,0.5,0.65,0.45,0.65,0.45,0.45,0.35,0.6,0.6
Legacy,0.15,0.2,0.25,0.4,0.25,0.3,0.35,0.35,0.5,0.4,0.65,0.4,0.45,0.35,0.65,0.55
Virtus.pro,0.2,0.3,0.3,0.5,0.3,0.3,0.45,0.55,0.6,0.5,0.75,0.55,0.5,0.45,0.7,0.7
paiN,0.15,0.2,0.25,0.35,0.2,0.2,0.25,0.35,0.35,0.25,0.5,0.4,0.45,0.35,0.45,0.45
3DMAX,0.2,0.3,0.25,0.4,0.3,0.25,0.4,0.55,0.6,0.45,0.6,0.5,0.5,0.3,0.65,0.65
FURIA,0.2,0.3,0.3,0.5,0.35,0.35,0.55,0.55,0.55,0.5,0.55,0.5,0.5,0.4,0.65,0.6
FaZe,0.2,0.3,0.4,0.55,0.4,0.35,0.55,0.65,0.65,0.55,0.65,0.7,0.6,0.5,0.75,0.7
Nemiga,0.15,0.2,0.2,0.3,0.2,0.2,0.25,0.4,0.35,0.3,0.55,0.35,0.35,0.25,0.5,0.45
Lynn Vision,0.15,0.2,0.2,0.35,0.3,0.25,0.3,0.4,0.45,0.3,0.55,0.35,0.4,0.3,0.55,0.5
