bo3,Vitality,MOUZ,Spirit,G2,The Mongolz,Aurora,Natus Vincere,Liquid,Legacy,Virtus.pro,paiN,3DMAX,FURIA,FaZe,Nemiga,Lynn Vision
Vitality,0.5,0.701116423,0.647690414,0.793669301,0.745216993,0.729506779,0.834198919,0.93703577,0.883582005,0.868557028,0.955320417,0.873243035,0.869157926,0.848380333,0.897900756,0.905233772
MOUZ,0.298883577,0.5,0.510831365,0.66228128,0.614031477,0.606403734,0.679232739,0.819391399,0.829100665,0.8330694,0.886949615,0.911768417,0.814067764,0.779502336,0.81534917,0.842666884
Spirit,0.352309586,0.489168635,0.5,0.691828094,0.639694811,0.59626114,0.750942137,0.84039215,0.827004803,0.802729814,0.933319496,0.856293325,0.805010288,0.773342409,0.874985436,0.857672631
G2,0.206330699,0.33771872,0.308171906,0.5,0.393389514,0.426914166,0.513272813,0.691120567,0.746263184,0.654498838,0.865402394,0.680490985,0.661110287,0.597120583,0.814239118,0.739431827
The Mongolz,0.254783007,0.385968523,0.360305189,0.581232079,0.5,0.486843702,0.628429312,0.742569272,0.780514397,0.726951865,0.892666377,0.737572182,0.702063047,0.668570535,0.841166309,0.790899663
Aurora,0.270493221,0.393596266,0.40373886,0.573085834,0.513156298,0.5,0.680440251,0.803825298,0.788016734,0.776988678,0.916503303,0.845995721,0.749813386,0.697326973,0.834516125,0.80481515
Natus Vincere,0.165801081,0.320767261,0.249057863,0.434127925,0.336820361,0.319559749,0.5,0.499880558,0.662169933,0.58445981,0.875760936,0.597245765,0.591103439,0.491335784,0.733306151,0.634075346
Liquid,0.06296423,0.180608601,0.15960785,0.249091632,0.182556641,0.196174702,0.224029109,0.5,0.533165997,0.377615698,0.649546688,0.423598102,0.471026556,0.336663213,0.593489668,0.610029688
Legacy,0.116417995,0.170899335,0.172995197,0.245134244,0.21221473,0.211983266,0.262446898,0.314233216,0.5,0.378562871,0.636582175,0.386725713,0.399201034,0.309820924,0.614418282,0.503200762
Virtus.pro,0.131442972,0.1669306,0.197270186,0.345501162,0.273048135,0.223011322,0.383906669,0.53789337,0.621437129,0.5,0.786741466,0.554182845,0.508499326,0.450735612,0.711339242,0.594412998
paiN,0.042680799,0.052838774,0.066680504,0.097310226,0.081829658,0.083496697,0.10577432,0.32125763,0.316754916,0.213258534,0.5,0.253532961,0.280332258,0.187293719,0.447429098,0.439815059
3DMAX,0.126756965,0.088231583,0.143706675,0.305813098,0.162498806,0.154004279,0.29853694,0.470857888,0.473591129,0.445817155,0.71335253,0.5,0.491460362,0.282311518,0.685275874,0.524658144
FURIA,0.123490701,0.185932236,0.194989712,0.338889713,0.297936953,0.250186614,0.408896561,0.528973444,0.600798966,0.491500674,0.680628807,0.508539638,0.5,0.435434664,0.697815218,0.65899596
FaZe,0.151619667,0.220497664,0.226657591,0.402879417,0.331429465,0.302673027,0.508664216,0.663336787,0.690179076,0.549264388,0.812706281,0.717688482,0.564565336,0.5,0.748641565,0.691333288
Nemiga,0.102099244,0.18465083,0.125014564,0.185760882,0.158833691,0.165483875,0.257723267,0.326057526,0.385581718,0.278286865,0.552570902,0.314724126,0.302184782,0.251358435,0.5,0.423096314
Lynn Vision,0.094766228,0.157333116,0.142327369,0.260568173,0.209100337,0.19518485,0.365924654,0.381055948,0.496799238,0.405587002,0.560184941,0.372592516,0.34100404,0.308666712,0.576903686,0.5
